month,property_type,sales_volume,total_revenue,median_price
2001-09-01,D,25509,4719131278.0,147500.0
2001-09-01,F,16967,2088620970.0,94000.0
2001-09-01,O,1,3000.0,3000.0
2001-09-01,S,29547,3113714389.0,84500.0
2001-09-01,T,32686,3039659633.0,70750.0
2001-10-01,D,26578,4800945715.0,145000.0
2001-10-01,F,18042,2147197006.0,91995.0
2001-10-01,S,32068,3312838611.0,84950.0
2001-10-01,T,36035,3236883303.0,69950.0
2001-11-01,D,27143,4778644793.0,142950.0
2001-11-01,F,18528,2191615152.0,92000.0
2001-11-01,S,33422,3408587509.0,83000.0
2001-11-01,T,37674,3335583624.0,69500.0
2001-12-01,D,24131,4394363334.0,147995.0
2001-12-01,F,16906,2083385747.0,97000.0
2001-12-01,O,1,1000000.0,1000000.0
2001-12-01,S,27132,2833604535.0,85000.0
2001-12-01,T,31544,2854774605.0,70000.0
2002-01-01,D,16491,3108993200.0,150000.0
2002-01-01,F,13214,1630996218.0,95000.0
2002-01-01,O,2,316000.0,158000.0
2002-01-01,S,21332,2264933382.0,86000.0
2002-01-01,T,25672,2363568500.0,69995.0
2002-02-01,D,17828,3283553673.0,150000.0
2002-02-01,F,14439,1796233553.0,96000.0
2002-02-01,S,23100,2430514640.0,85500.0
2002-02-01,T,27350,2494427751.0,70000.0
2002-03-01,D,25407,4729507237.0,150000.0
2002-03-01,F,18345,2380774145.0,100000.0
2002-03-01,S,30896,3298362081.0,87000.0
2002-03-01,T,35709,3330249288.0,73000.0
2002-04-01,D,24483,4735230842.0,156000.0
2002-04-01,F,17802,2421330497.0,105000.0
2002-04-01,S,29595,3303110907.0,90000.0
2002-04-01,T,34616,3445411946.0,77000.0
2002-05-01,D,32930,6351309682.0,159000.0
2002-05-01,F,22999,3105160791.0,107250.0
2002-05-01,O,1,150000.0,150000.0
2002-05-01,S,40157,4586208311.0,93500.0
2002-05-01,T,44991,4535246397.0,79950.0
2002-06-01,D,27743,5665060006.0,167000.0
2002-06-01,F,18974,2707519606.0,114500.0
2002-06-01,O,1,95000.0,95000.0
2002-06-01,S,30361,3617659667.0,97450.0
2002-06-01,T,34448,3650708827.0,83000.0
2002-07-01,D,32169,6965598876.0,175000.0
2002-07-01,F,22756,3173403694.0,112500.0
2002-07-01,S,37264,4660272497.0,104000.0
2002-07-01,T,42690,4636003257.0,84950.0
2002-08-01,D,32290,7046304950.0,177995.0
2002-08-01,F,22545,3258039320.0,116000.0
2002-08-01,S,37622,4804245070.0,106000.0
2002-08-01,T,42327,4634818591.0,85750.0
2002-09-01,D,25730,5760869214.0,181000.0
2002-09-01,F,19529,2844290721.0,119950.0
2002-09-01,S,30077,3798624331.0,105000.0
2002-09-01,T,35784,3883652035.0,85750.0
2002-10-01,D,25856,5734489646.0,182500.0
2002-10-01,F,19780,2806984625.0,118000.0
2002-10-01,S,30766,3925936420.0,106000.0
2002-10-01,T,36905,3963553346.0,85000.0
2002-11-01,D,26850,5925039892.0,181000.0
2002-11-01,F,20105,2819442391.0,117000.0
2002-11-01,S,32676,4109718227.0,105000.0
2002-11-01,T,39278,4190217346.0,85000.0
2002-12-01,D,24778,5504651938.0,185000.0
2002-12-01,F,20014,2910241892.0,121675.0
2002-12-01,S,29282,3825058007.0,112000.0
2002-12-01,T,35297,3892107838.0,89450.0
2003-01-01,D,17749,4133742450.0,190000.0
2003-01-01,F,15339,2225403085.0,120000.0
2003-01-01,S,23298,3082182694.0,112500.0
2003-01-01,T,29010,3192534928.0,88000.0
2003-02-01,D,16698,3803555005.0,187000.0
2003-02-01,F,14612,2067045755.0,120000.0
2003-02-01,O,1,60000.0,60000.0
2003-02-01,S,21968,2850043503.0,112000.0
2003-02-01,T,27767,2989889670.0,86000.0
2003-03-01,D,17928,4051382971.0,187000.0
2003-03-01,F,15535,2185319035.0,120000.0
