month,median_price,median_price_index
2012-06-01,181000.0,335.18518518518516
2012-07-01,186000.0,344.44444444444446
2012-08-01,186150.0,344.72222222222223
2012-09-01,185000.0,342.5925925925926
2012-10-01,182000.0,337.037037037037
2012-11-01,180000.0,333.3333333333333
2012-12-01,180000.0,333.3333333333333
2013-01-01,182000.0,337.037037037037
2013-02-01,175000.0,324.0740740740741
2013-03-01,177000.0,327.77777777777777
2013-04-01,179000.0,331.48148148148147
2013-05-01,180000.0,333.3333333333333
2013-06-01,184000.0,340.74074074074076
2013-07-01,189000.0,350.0
2013-08-01,190000.0,351.85185185185185
2013-09-01,190000.0,351.85185185185185
2013-10-01,186000.0,344.44444444444446
2013-11-01,183500.0,339.81481481481484
2013-12-01,185000.0,342.5925925925926
2014-01-01,185000.0,342.5925925925926
2014-02-01,183000.0,338.8888888888889
2014-03-01,180000.0,333.3333333333333
2014-04-01,187000.0,346.2962962962963
2014-05-01,185000.0,342.5925925925926
2014-06-01,190000.0,351.85185185185185
2014-07-01,195000.0,361.1111111111111
2014-08-01,199000.0,368.51851851851853
2014-09-01,199995.0,370.3611111111111
2014-10-01,195000.0,361.1111111111111
2014-11-01,194950.0,361.01851851851853
2014-12-01,195000.0,361.1111111111111
2015-01-01,195250.0,361.5740740740741
2015-02-01,193500.0,358.3333333333333
2015-03-01,191995.0,355.5462962962963
2015-04-01,196000.0,362.962962962963
2015-05-01,195000.0,361.1111111111111
2015-06-01,204950.0,379.537037037037
2015-07-01,208000.0,385.18518518518516
2015-08-01,214000.0,396.2962962962963
2015-09-01,213000.0,394.44444444444446
2015-10-01,210000.0,388.8888888888889
2015-11-01,210000.0,388.8888888888889
2015-12-01,210000.0,388.8888888888889
2016-01-01,210000.0,388.8888888888889
2016-02-01,207000.0,383.3333333333333
2016-03-01,205000.0,379.6296296296296
2016-04-01,210000.0,388.8888888888889
2016-05-01,212000.0,392.5925925925926
2016-06-01,220000.0,407.4074074074074
2016-07-01,218500.0,404.6296296296296
2016-08-01,220000.0,407.4074074074074
2016-09-01,217000.0,401.85185185185185
2016-10-01,217000.0,401.85185185185185
2016-11-01,215000.0,398.14814814814815
2016-12-01,220000.0,407.4074074074074
2017-01-01,218000.0,403.7037037037037
2017-02-01,217500.0,402.77777777777777
2017-03-01,212000.0,392.5925925925926
2017-04-01,217500.0,402.77777777777777
2017-05-01,215000.0,398.14814814814815
2017-06-01,220000.0,407.4074074074074
