month,property_type,duration,sales_volume,median_price,total_revenue
1998-06-01,D,L,924,83475.0,88044987.0
1998-06-01,F,F,465,56000.0,39068319.0
1998-06-01,F,L,14802,59750.0,1215258028.0
1998-06-01,S,F,25472,60000.0,1906063089.0
1998-06-01,S,L,2239,53000.0,128565655.0
1998-06-01,T,F,26631,52750.0,1775472910.0
1998-06-01,T,L,2669,37500.0,138499236.0
1998-07-01,D,F,26373,107500.0,3521223815.0
1998-07-01,D,L,975,82000.0,113253648.0
1998-07-01,F,F,547,53500.0,43126049.0
1998-07-01,F,L,16294,59950.0,1318464805.0
1998-07-01,O,F,1,170000.0,170000.0
1998-07-01,S,F,29274,63000.0,2257188350.0
1998-07-01,S,L,2462,53500.0,142704747.0
1998-07-01,T,F,30752,53291.0,2113936730.0
1998-07-01,T,L,2950,37000.0,142006273.0
1998-08-01,D,F,22988,110000.0,3143151892.0
1998-08-01,D,L,844,84000.0,80482525.0
1998-08-01,F,F,488,56000.0,51423716.0
1998-08-01,F,L,14248,60000.0,1156457046.0
1998-08-01,S,F,25179,63000.0,1936287483.0
1998-08-01,S,L,2200,53500.0,129920956.0
1998-08-01,T,F,25781,53500.0,1790091691.0
1998-08-01,T,L,2508,38000.0,117059482.0
1998-09-01,D,F,21471,108000.0,2904301493.0
1998-09-01,D,L,860,83500.0,85433385.0
1998-09-01,F,F,527,56750.0,48452115.0
1998-09-01,F,L,14388,59995.0,1207576231.0
1998-09-01,S,F,23791,62950.0,1823004634.0
1998-09-01,S,L,2109,54000.0,126252201.0
1998-09-01,T,F,24608,53500.0,1666984445.0
1998-09-01,T,L,2450,37500.0,119588168.0
1998-10-01,D,F,22127,104950.0,2878434040.0
1998-10-01,D,L,886,84000.0,91274622.0
1998-10-01,F,F,549,54000.0,48697402.0
1998-10-01,F,L,14433,59450.0,1181630054.0
1998-10-01,S,F,24934,60000.0,1850708032.0
1998-10-01,S,L,2288,53500.0,129165812.0
1998-10-01,T,F,25988,52250.0,1703317538.0
1998-10-01,T,L,2603,37500.0,125268187.0
1998-11-01,D,F,20138,105000.0,2619990141.0
1998-11-01,D,L,826,84997.5,83374481.0
1998-11-01,F,F,453,55000.0,33945315.0
1998-11-01,F,L,13405,59950.0,1077499308.0
1998-11-01,S,F,23191,60950.0,1734072360.0
1998-11-01,S,L,2119,53500.0,122539598.0
1998-11-01,T,F,24136,52500.0,1559594987.0
1998-11-01,T,L,2413,37950.0,114343781.0
1998-12-01,D,F,21296,105000.0,2762039742.0
