month,county,sales_volume,total_revenue,median_price
1995-03-01,MERSEYSIDE,1508,73034163.0,42500.0
1995-03-01,MERTHYR TYDFIL,60,1985800.0,32500.0
1995-03-01,MID GLAMORGAN,521,21413502.0,37500.0
1995-03-01,MIDDLESBROUGH,182,8149528.0,38000.0
1995-03-01,MILTON KEYNES,391,23501460.0,50000.0
1995-03-01,MONMOUTHSHIRE,5,589500.0,85000.0
1995-03-01,NEATH PORT TALBOT,4,285400.0,74250.0
1995-03-01,NEWPORT,158,7643767.0,40500.0
1995-03-01,NORFOLK,1144,60717832.0,46450.0
1995-03-01,NORTH EAST LINCOLNSHIRE,3,49000.0,3000.0
1995-03-01,NORTH LINCOLNSHIRE,4,235500.0,61000.0
1995-03-01,NORTH SOMERSET,7,570100.0,50000.0
1995-03-01,NORTH YORKSHIRE,869,57812396.0,55950.0
1995-03-01,NORTHAMPTONSHIRE,1018,55759338.0,44500.0
1995-03-01,NORTHUMBERLAND,396,23341836.0,49975.0
1995-03-01,NOTTINGHAMSHIRE,1323,65983524.0,42700.0
1995-03-01,OXFORDSHIRE,920,78907737.0,69000.0
1995-03-01,PEMBROKESHIRE,6,242750.0,46125.0
1995-03-01,POOLE,281,18507345.0,56000.0
1995-03-01,PORTSMOUTH,244,12416170.0,47250.0
1995-03-01,POWYS,125,6579710.0,49000.0
1995-03-01,READING,219,14155302.0,55000.0
1995-03-01,REDCAR AND CLEVELAND,5,145000.0,22500.0
1995-03-01,RHONDDA CYNON TAFF,8,61130.0,4400.0
1995-03-01,RUTLAND,31,1819400.0,54000.0
1995-03-01,SHROPSHIRE,616,35518148.0,50000.0
1995-03-01,SLOUGH,136,8081210.0,54500.0
1995-03-01,SOMERSET,704,41690619.0,49000.0
1995-03-01,SOUTH GLAMORGAN,120,7860210.0,55250.0
1995-03-01,SOUTH GLOUCESTERSHIRE,11,644200.0,53000.0
1995-03-01,SOUTH YORKSHIRE,1337,61522699.0,40800.0
1995-03-01,SOUTHAMPTON,337,17205660.0,45000.0
1995-03-01,SOUTHEND-ON-SEA,304,16684751.0,46250.0
1995-03-01,STAFFORDSHIRE,1085,62864479.0,48950.0
1995-03-01,STOCKTON-ON-TEES,215,10824634.0,42500.0
1995-03-01,STOKE-ON-TRENT,319,11919445.0,33500.0
1995-03-01,SUFFOLK,1049,60367178.0,49000.0
1995-03-01,SURREY,1646,174549691.0,82000.0
1995-03-01,SWANSEA,221,11356732.0,44500.0
1995-03-01,SWINDON,1,45000.0,45000.0
1995-03-01,THAMESDOWN,317,18828563.0,52495.0
1995-03-01,THE VALE OF GLAMORGAN,1,92500.0,92500.0
1995-03-01,THURROCK,229,13185010.0,53000.0
1995-03-01,TORBAY,185,9809932.0,47250.0
1995-03-01,TORFAEN,96,4368860.0,37125.0
1995-03-01,TYNE AND WEAR,1247,59654415.0,41000.0
1995-03-01,WARRINGTON,298,19411303.0,55000.0
1995-03-01,WARWICKSHIRE,679,44324652.0,55500.0
1995-03-01,WEST BERKSHIRE,2,303500.0,151750.0
1995-03-01,WEST GLAMORGAN,166,7133636.0,40000.0
1995-03-01,WEST MIDLANDS,2631,146906779.0,46500.0
1995-03-01,WEST SUSSEX,1245,92225634.0,62500.0
1995-03-01,WEST YORKSHIRE,2750,140808445.0,44725.0
1995-03-01,WILTSHIRE,610,46316304.0,61950.0
1995-03-01,WINDSOR AND MAIDENHEAD,209,23949330.0,93000.0
1995-03-01,WOKINGHAM,240,24149565.0,87000.0
1995-03-01,WORCESTERSHIRE,821,54982604.0,57500.0
1995-03-01,WREKIN,1,1050.0,1050.0
1995-03-01,WREXHAM,3,72000.0,7000.0
1995-03-01,YORK,142,8220960.0,51000.0
1995-04-01,AVON,1164,73724548.0,54000.0
1995-04-01,BATH AND NORTH EAST SOMERSET,2,265000.0,132500.0
1995-04-01,BEDFORD,1,130000.0,130000.0
1995-04-01,BEDFORDSHIRE,532,35365430.0,57000.0
1995-04-01,BERKSHIRE,197,18284535.0,75000.0
1995-04-01,BLACKBURN WITH DARWEN,4,28000.0,4500.0
1995-04-01,BLACKPOOL,177,7827300.0,41000.0
1995-04-01,BLAENAU GWENT,41,1240700.0,30000.0
1995-04-01,BOURNEMOUTH,309,20388376.0,55500.0
1995-04-01,BRACKNELL FOREST,171,16635385.0,78000.0
1995-04-01,BRIGHTON AND HOVE,7,477575.0,55275.0
1995-04-01,BUCKINGHAMSHIRE,655,72846860.0,85500.0
1995-04-01,CAMBRIDGESHIRE,938,62033212.0,57000.0
1995-04-01,CARDIFF,314,18360244.0,52000.0
1995-04-01,CARMARTHENSHIRE,4,165995.0,35997.5
1995-04-01,CEREDIGION,45,2206670.0,45000.0
1995-04-01,CHESHIRE,772,53466705.0,57500.0
1995-04-01,CHESHIRE EAST,7,577950.0,75000.0
