district,county,sales,rnk,share,cum_share
WEST WILTSHIRE,WILTSHIRE,43417,237,0.0019305584136987874,0.7894886058946662
DARTFORD,KENT,43318,238,0.0019261563296543768,0.7914147622243206
WATFORD,HERTFORDSHIRE,43301,239,0.0019254004162326092,0.7933401626405532
SEVENOAKS,KENT,43156,240,0.0019189529193998865,0.7952591155599531
BEDFORD,BEDFORDSHIRE,43012,241,0.0019125498880625618,0.7971716654480157
MID SUFFOLK,SUFFOLK,42752,242,0.001900988859259059,0.7990726543072747
BASSETLAW,NOTTINGHAMSHIRE,42743,243,0.0019005886698004763,0.8009732429770752
SOUTH DERBYSHIRE,DERBYSHIRE,42724,244,0.0018997438253879125,0.8028729868024631
NORTH WILTSHIRE,WILTSHIRE,42665,245,0.0018971203611594253,0.8047701071636225
CAMBRIDGE,CAMBRIDGESHIRE,42428,246,0.0018865820387500784,0.8066566892023727
RUSHMOOR,HAMPSHIRE,42145,247,0.0018739983035524195,0.808530687505925
BROXBOURNE,HERTFORDSHIRE,42070,248,0.001870663391397563,0.8104013508973226
SOUTH HAMS,DEVON,42039,249,0.0018692849610402221,0.8122706358583628
SOUTH HOLLAND,LINCOLNSHIRE,41929,250,0.0018643937565464325,0.8141350296149092
NEWCASTLE-UNDER-LYME,STAFFORDSHIRE,41875,251,0.0018619926197949359,0.8159970222347042
NORTH DEVON,DEVON,41835,252,0.0018602139999790122,0.8178572362346832
CRAWLEY,WEST SUSSEX,41736,253,0.0018558119159346016,0.8197130481506177
CENTRAL BEDFORDSHIRE,CENTRAL BEDFORDSHIRE,41260,254,0.0018346463401251118,0.8215476944907429
GREAT YARMOUTH,NORFOLK,41239,255,0.001833712564721752,0.8233814070554647
SPELTHORNE,SURREY,41217,256,0.001832734323822994,0.8252141413792876
CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,41153,257,0.0018298885321175163,0.8270440299114051
MANSFIELD,NOTTINGHAMSHIRE,40948,258,0.0018207731055609082,0.8288648030169661
NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,40885,259,0.0018179717793508287,0.8306827747963169
HERTSMERE,HERTFORDSHIRE,40655,260,0.0018077447154092685,0.8324905195117261
KNOWSLEY,MERSEYSIDE,40602,261,0.0018053880441531698,0.8342959075558793
WELWYN HATFIELD,HERTFORDSHIRE,40582,262,0.001804498734245208,0.8361004062901245
PENDLE,LANCASHIRE,40452,263,0.0017987182198434565,0.8378991245099681
HARBOROUGH,LEICESTERSHIRE,40251,264,0.0017897806552684408,0.8396889051652364
BLABY,LEICESTERSHIRE,39987,265,0.0017780417644833457,0.8414669469297198
SOUTH BEDFORDSHIRE,BEDFORDSHIRE,39978,266,0.0017776415750247628,0.8432445885047446
SOUTH NORTHAMPTONSHIRE,NORTHAMPTONSHIRE,39825,267,0.0017708383542288553,0.8450154268589735
SURREY HEATH,SURREY,39790,268,0.0017692820618899223,0.8467847089208633
GOSPORT,HAMPSHIRE,39721,269,0.0017662139427074542,0.8485509228635708
HALTON,HALTON,39626,270,0.0017619897206446358,0.8503129125842154
WREXHAM,WREXHAM,39116,271,0.001739312317991611,0.852052224902207
GWYNEDD,GWYNEDD,38939,272,0.0017314419253061494,0.8537836668275132
PEMBROKESHIRE,PEMBROKESHIRE,38903,273,0.0017298411674718183,0.855513507994985
WEST LINDSEY,LINCOLNSHIRE,38104,274,0.001694313236648746,0.8572078212316337
BROMSGROVE,WORCESTERSHIRE,38021,275,0.0016906226005307045,0.8588984438321644
LICHFIELD,STAFFORDSHIRE,38015,276,0.001690355807558316,0.8605887996397228
TEWKESBURY,GLOUCESTERSHIRE,37611,277,0.0016723917474174884,0.8622611913871403
EAST CAMBRIDGESHIRE,CAMBRIDGESHIRE,37597,278,0.0016717692304819153,0.8639329606176221
HIGH PEAK,DERBYSHIRE,37477,279,0.0016664333710341447,0.8655993939886564
NORTHUMBERLAND,NORTHUMBERLAND,37371,280,0.0016617200285219474,0.8672611140171783
SHROPSHIRE,SHROPSHIRE,37307,281,0.0016588742368164697,0.8689199882539947
DAVENTRY,NORTHAMPTONSHIRE,37274,282,0.0016574068754683328,0.8705773951294631
POWYS,POWYS,37257,283,0.0016566509620465654,0.8722340460915097
CASTLE POINT,ESSEX,37038,284,0.001646913018554384,0.873880959110064
FYLDE,LANCASHIRE,37025,285,0.001646334967114209,0.8755272940771782
BABERGH,SUFFOLK,36952,286,0.0016430889859501486,0.8771703830631283
CHESTERFIELD,DERBYSHIRE,36946,287,0.00164282219297776,0.8788132052561062
COTSWOLD,GLOUCESTERSHIRE,36902,288,0.001640865711180244,0.8804540709672863
CHILTERN,BUCKINGHAMSHIRE,36858,289,0.0016389092293827281,0.8820929801966692
TANDRIDGE,SURREY,36671,290,0.0016305941817432858,0.8837235743784124
WYRE FOREST,WORCESTERSHIRE,36493,291,0.0016226793235624261,0.8853462537019748
RUNNYMEDE,SURREY,36310,292,0.001614542137904576,0.8869607958398794
THREE RIVERS,HERTFORDSHIRE,36273,293,0.0016128969145748468,0.8885736927544542
WEST LANCASHIRE,LANCASHIRE,36261,294,0.0016123633286300697,0.8901860560830843
ALLERDALE,CUMBRIA,35943,295,0.0015982233010934776,0.8917842793841778
HARTLEPOOL,HARTLEPOOL,35933,296,0.0015977786461394967,0.8933820580303173
HYNDBURN,LANCASHIRE,35825,297,0.0015929763726365033,0.8949750344029538
CANNOCK CHASE,STAFFORDSHIRE,35318,298,0.0015704323664696726,0.8965454667694235
SELBY,NORTH YORKSHIRE,35220,299,0.00156607474792066,0.8981115415173441
GRAVESHAM,KENT,35199,300,0.0015651409725173002,0.8996766824898614
MOLE VALLEY,SURREY,35055,301,0.0015587379411799755,0.9012354204310414
CREWE AND NANTWICH,CHESHIRE,35005,302,0.0015565146664100712,0.9027919350974515
UTTLESFORD,ESSEX,34973,303,0.0015550917705573323,0.9043470268680088
CHESTER,CHESHIRE,34883,304,0.0015510898759715044,0.9058981167439804
ROCHFORD,ESSEX,34673,305,0.001541752121937906,0.9074398688659182
STAFFORDSHIRE MOORLANDS,STAFFORDSHIRE,34653,306,0.0015408628120299442,0.9089807316779481
VALE ROYAL,CHESHIRE,34622,307,0.0015394843816726035,0.9105202160596207
DENBIGHSHIRE,DENBIGHSHIRE,34526,308,0.001535215694114387,0.9120554317537352
SOUTH STAFFORDSHIRE,STAFFORDSHIRE,34052,309,0.0015141390492956932,0.9135695708030308
HAMBLETON,NORTH YORKSHIRE,33457,310,0.0014876820795338308,0.9150572528825647
WELLINGBOROUGH,NORTHAMPTONSHIRE,33309,311,0.0014811011862149138,0.9165383540687796
REDDITCH,WORCESTERSHIRE,33213,312,0.0014768324986566973,0.9180151865674363
HARLOW,ESSEX,33165,313,0.0014746981548775893,0.9194898847223139
EPSOM AND EWELL,SURREY,33139,314,0.001473542051997239,0.9209634267743111
BRENTWOOD,ESSEX,33071,315,0.0014705183983101688,0.9224339451726212
WEYMOUTH AND PORTLAND,DORSET,32787,316,0.0014578901976171118,0.9238918353702384
MID DEVON,DEVON,32638,317,0.0014512648388027968,0.9253431002090412
STEVENAGE,HERTFORDSHIRE,32578,318,0.0014485969090789115,0.9267916971181202
MONMOUTHSHIRE,MONMOUTHSHIRE,32434,319,0.001442193877741587,0.9282338909958617
NORTH EAST DERBYSHIRE,DERBYSHIRE,32122,320,0.0014283206431773834,0.9296622116390391
NORTH DORSET,DORSET,31931,321,0.0014198277335563485,0.9310820393725954
BARROW-IN-FURNESS,CUMBRIA,31156,322,0.0013853669746228304,0.9324674063472183
SALISBURY,WILTSHIRE,30804,323,0.0013697151202427032,0.9338371214674609
RESTORMEL,CORNWALL,30743,324,0.00136700272502342,0.9352041241924843
FOREST OF DEAN,GLOUCESTERSHIRE,30734,325,0.0013666025355648372,0.9365707267280492
TORRIDGE,DEVON,30568,326,0.0013592212633287545,0.937929947991378
BOLSOVER,DERBYSHIRE,29186,327,0.001297769948688597,0.9392277179400665
TAMWORTH,STAFFORDSHIRE,28731,328,0.001277538148282467,0.940505256088349
CARRICK,CORNWALL,28512,329,0.0012678002047902856,0.9417730562931393
MALVERN HILLS,WORCESTERSHIRE,28355,330,0.0012608191220127858,0.943033875415152
FOREST HEATH,SUFFOLK,28320,331,0.0012592628296738528,0.944293138244826
MALDON,ESSEX,28259,332,0.0012565504344545693,0.9455496886792805
SHREWSBURY AND ATCHAM,SHROPSHIRE,28142,333,0.0012513479714929931,0.9468010366507735
ADUR,WEST SUSSEX,28018,334,0.00124583425006363,0.9480468709008372
CONGLETON,CHESHIRE,27899,335,0.0012405428561112577,0.9492874137569484
BOSTON,LINCOLNSHIRE,27299,336,0.0012138635588724049,0.9505012773158208
ROSSENDALE,LANCASHIRE,27232,337,0.001210884370680733,0.9517121616865015
SOUTH BUCKS,BUCKINGHAMSHIRE,27056,338,0.0012030584434906694,0.9529152201299922
KERRIER,CORNWALL,26881,339,0.001195276981796004,0.9541104971117882
TORFAEN,TORFAEN,26825,340,0.0011927869140537111,0.955303284025842
CARADON,CORNWALL,26326,341,0.0011705986318500652,0.956473882657692
CHRISTCHURCH,DORSET,26206,342,0.0011652627724022947,0.9576391454300943
