month,property_type,is_new_build,sales_volume,median_price,total_revenue
1997-11-01,S,0,23156,58500.0,1599092531.0
1997-11-01,S,1,1920,59950.0,129078226.0
1997-11-01,T,0,25160,47000.0,1514248800.0
1997-11-01,T,1,1572,59997.5,116240064.0
1997-12-01,D,0,16930,96000.0,2058541761.0
1997-12-01,D,1,6479,101000.0,753523344.0
1997-12-01,F,0,12702,54000.0,903757563.0
1997-12-01,F,1,1903,82995.0,205609297.0
1997-12-01,S,0,23960,58700.0,1689325247.0
1997-12-01,S,1,2517,59950.0,172207196.0
1997-12-01,T,0,26511,47500.0,1595184509.0
1997-12-01,T,1,1942,64350.0,152814021.0
1998-01-01,D,0,12094,98000.0,1548326042.0
1998-01-01,D,1,2602,101000.0,304498229.0
1998-01-01,F,0,9886,54000.0,730137452.0
1998-01-01,F,1,974,82997.5,105341463.0
1998-01-01,S,0,17253,59000.0,1242852984.0
1998-01-01,S,1,1157,59195.0,79414412.0
1998-01-01,T,0,19796,48000.0,1234779838.0
1998-01-01,T,1,937,66000.0,75051807.0
1998-02-01,D,0,11782,96500.0,1465004549.0
1998-02-01,D,1,3683,105500.0,438869343.0
1998-02-01,F,0,9785,53750.0,700326764.0
1998-02-01,F,1,1180,77725.0,129080137.0
1998-02-01,S,0,17371,58000.0,1210459271.0
1998-02-01,S,1,1437,59950.0,98076772.0
1998-02-01,T,0,20052,47000.0,1202571539.0
1998-02-01,T,1,1170,63000.0,90553624.0
1998-03-01,D,0,14548,96000.0,1851124681.0
1998-03-01,D,1,4692,103500.0,561864432.0
1998-03-01,F,0,11625,54500.0,867823312.0
1998-03-01,F,1,1302,85000.0,155151099.0
1998-03-01,S,0,21578,58500.0,1523420249.0
1998-03-01,S,1,1830,59950.0,125363028.0
1998-03-01,T,0,24687,47500.0,1523258580.0
1998-03-01,T,1,1386,63087.5,113334383.0
1998-04-01,D,0,16363,100000.0,2100212160.0
1998-04-01,D,1,4250,104950.0,518141927.0
1998-04-01,F,0,11969,56000.0,909508418.0
1998-04-01,F,1,1223,83995.0,140560974.0
1998-04-01,S,0,22760,60000.0,1653521493.0
1998-04-01,S,1,1633,59950.0,110272242.0
1998-04-01,T,0,25006,49000.0,1590442010.0
1998-04-01,T,1,1264,68995.0,104496991.0
1998-05-01,D,0,17197,102500.0,2186476570.0
1998-05-01,D,1,5268,104500.0,642940484.0
1998-05-01,F,0,12869,56000.0,965269936.0
1998-05-01,F,1,1486,87500.0,175808882.0
1998-05-01,S,0,24834,59995.0,1807516202.0
1998-05-01,S,1,1940,59950.0,136867065.0
1998-05-01,T,0,26565,49000.0,1670579179.0
1998-05-01,T,1,1534,66000.0,125575741.0
1998-06-01,D,0,18242,103000.0,2364520468.0
1998-06-01,D,1,6570,104000.0,799305675.0
1998-06-01,F,0,13349,57000.0,1031219585.0
1998-06-01,F,1,1919,91950.0,223162262.0
1998-06-01,S,0,25227,60000.0,1860271693.0
1998-06-01,S,1,2485,59995.0,174441051.0
1998-06-01,T,0,27382,49950.0,1751424755.0
1998-06-01,T,1,1918,69500.0,162547391.0
1998-07-01,D,0,22512,106000.0,3037821989.0
1998-07-01,D,1,4836,105000.0,596655474.0
1998-07-01,F,0,15124,57500.0,1171477633.0
1998-07-01,F,1,1718,86225.0,190165221.0
1998-07-01,O,0,1,170000.0,170000.0
1998-07-01,S,0,29897,60000.0,2265637223.0
1998-07-01,S,1,1839,60000.0,134255874.0
1998-07-01,T,0,32351,50500.0,2141491565.0
1998-07-01,T,1,1351,69500.0,114451438.0
1998-08-01,D,0,19266,110000.0,2664065958.0
1998-08-01,D,1,4570,104975.0,560118459.0
1998-08-01,F,0,13085,58500.0,1015641564.0
1998-08-01,F,1,1651,87500.0,192239198.0
1998-08-01,S,0,25621,62000.0,1937297533.0
1998-08-01,S,1,1758,59997.0,128910906.0
1998-08-01,T,0,27047,51000.0,1802700853.0
1998-08-01,T,1,1242,67814.5,104450320.0
1998-09-01,D,0,17750,108000.0,2435952472.0
1998-09-01,D,1,4581,104500.0,553782406.0
1998-09-01,F,0,13512,58500.0,1055911004.0
1998-09-01,F,1,1404,96995.0,200140292.0
1998-09-01,S,0,24194,60000.0,1827088513.0
1998-09-01,S,1,1706,59995.0,122168322.0
1998-09-01,T,0,25838,51000.0,1688874849.0
1998-09-01,T,1,1220,67500.0,97697764.0
1998-10-01,D,0,18267,102500.0,2395740592.0
1998-10-01,D,1,4746,104475.0,573968070.0
1998-10-01,F,0,13511,57000.0,1035345398.0
1998-10-01,F,1,1471,90995.0,194982058.0
1998-10-01,S,0,25356,59999.0,1844691053.0
1998-10-01,S,1,1866,60972.5,135182791.0
1998-10-01,T,0,27287,49950.0,1723828369.0
1998-10-01,T,1,1304,65950.0,104757356.0
1998-11-01,D,0,16218,103475.0,2122666892.0
1998-11-01,D,1,4747,104950.0,580767730.0
1998-11-01,F,0,12301,57500.0,925054159.0
1998-11-01,F,1,1557,89500.0,186390464.0
1998-11-01,S,0,23576,60000.0,1728987846.0
1998-11-01,S,1,1735,62950.0,127681862.0
1998-11-01,T,0,25287,49950.0,1568525268.0
1998-11-01,T,1,1262,68950.0,105413500.0
1998-12-01,D,0,16023,102500.0,2078042876.0
1998-12-01,D,1,6154,105000.0,774078136.0
1998-12-01,F,0,12586,58000.0,963378250.0
1998-12-01,F,1,1785,99995.0,230858632.0
1998-12-01,S,0,23242,60000.0,1717245497.0
1998-12-01,S,1,2240,62950.0,167281296.0
1998-12-01,T,0,25274,49000.0,1576694542.0
1998-12-01,T,1,1810,71950.0,159453468.0
1999-01-01,D,0,11860,105000.0,1599842995.0
1999-01-01,D,1,2564,107950.0,323260601.0
1999-01-01,F,0,9548,58000.0,745262943.0
1999-01-01,F,1,1026,99950.0,136159691.0
1999-01-01,S,0,17242,61000.0,1297670286.0
1999-01-01,S,1,1006,62972.5,72900886.0
1999-01-01,T,0,19404,50000.0,1265837089.0
1999-01-01,T,1,893,72950.0,79513632.0
1999-02-01,D,0,11817,103000.0,1582617016.0
