month,sales_volume,total_revenue,median_price,sales_volume_prev_year,total_revenue_prev_year,median_price_prev_year,yoy_sales_volume,yoy_total_revenue,yoy_median_price
2006-05-01,107077,21209921902.0,163250.0,85164,15750139330.0,155000.0,0.25730355549293127,0.3466497951291457,0.0532258064516129
2006-06-01,128106,25824099286.0,165000.0,97828,18451775467.0,158300.0,0.30950239195322404,0.39954549805708406,0.04232469993682881
2006-07-01,119158,24996708260.0,170000.0,102852,19874705959.0,159500.0,0.15853848247967953,0.2577146203604873,0.06583072100313479
2006-08-01,125723,26798741628.0,173000.0,100560,19711014701.0,160000.0,0.25022871917263323,0.35958204255412674,0.08125
2006-09-01,120730,25315684882.0,169995.0,102169,19794428455.0,159999.0,0.18166958666523114,0.2789298230838967,0.062475390471190446
2006-10-01,117857,24458804188.0,170000.0,94273,17939430998.0,159000.0,0.2501670679834099,0.3634102548027761,0.06918238993710692
2006-11-01,119872,24849940103.0,169950.0,97285,18651877202.0,159995.0,0.23217351081872847,0.33230236473653146,0.062220694396699895
2006-12-01,126955,26288493243.0,170000.0,108389,20824546402.0,160000.0,0.17129044460231205,0.26238011313779397,0.0625
2007-01-01,90522,19270805656.0,170000.0,77466,15169964067.0,158750.0,0.16853845558051275,0.27032638778102125,0.07086614173228346
2007-02-01,89462,18659072595.0,169000.0,80556,15325475125.0,158000.0,0.11055663141168877,0.217520007882953,0.06962025316455696
2007-03-01,109759,22947155005.0,168250.0,105696,20321128105.0,158000.0,0.03844043293975174,0.12922643302238068,0.06487341772151899
2007-04-01,98460,21009343721.0,171000.0,96965,19203935265.0,162000.0,0.015417934306192956,0.0940124214691785,0.05555555555555555
2007-05-01,111450,24073705987.0,175000.0,107077,21209921902.0,163250.0,0.04083976951165983,0.13502096321863202,0.07197549770290965
2007-06-01,127625,27727647733.0,176000.0,128106,25824099286.0,165000.0,-0.0037547031364651147,0.07371209450205178,0.06666666666666667
2007-07-01,120537,27551777534.0,180000.0,119158,24996708260.0,170000.0,0.011572869635274173,0.10221622973008207,0.058823529411764705
2007-08-01,128544,29477051365.0,182500.0,125723,26798741628.0,173000.0,0.022438217350842726,0.09994162316194856,0.05491329479768786
2007-09-01,101386,23161644496.0,180000.0,120730,25315684882.0,169995.0,-0.1602252961152986,-0.08508718591024844,0.05885467219624107
2007-10-01,106207,23869238570.0,180000.0,117857,24458804188.0,170000.0,-0.09884860466497535,-0.02410443345751356,0.058823529411764705
2007-11-01,104434,22982057362.0,178000.0,119872,24849940103.0,169950.0,-0.12878737319807795,-0.075166488661858,0.047366872609591056
2007-12-01,84535,18339024208.0,177500.0,126955,26288493243.0,170000.0,-0.3341341420188256,-0.3023934830162529,0.04411764705882353
2008-01-01,59724,13296790598.0,175000.0,90522,19270805656.0,170000.0,-0.340226685225691,-0.310003388786186,0.029411764705882353
2008-02-01,63695,13685177533.0,171695.0,89462,18659072595.0,169000.0,-0.2880217298964924,-0.2665671102717525,0.015946745562130177
2008-03-01,60243,13023867353.0,172000.0,109759,22947155005.0,168250.0,-0.4511338477938028,-0.43244086902440826,0.022288261515601784
2008-04-01,64805,14169023533.0,172500.0,98460,21009343721.0,171000.0,-0.341813934592728,-0.32558466741456193,0.008771929824561403
2008-05-01,67263,14753103489.0,175000.0,111450,24073705987.0,175000.0,-0.3964737550471063,-0.3871694081099604,0.0
2008-06-01,60989,13378061501.0,175000.0,127625,27727647733.0,176000.0,-0.5221234084231146,-0.5175190614861235,-0.005681818181818182
2008-07-01,54542,12405070177.0,175000.0,120537,27551777534.0,180000.0,-0.5475082339862449,-0.549754270420787,-0.027777777777777776
2008-08-01,49906,11157953704.0,175000.0,128544,29477051365.0,182500.0,-0.6117593975603685,-0.621469815083046,-0.0410958904109589
2008-09-01,43225,9440095233.0,168000.0,101386,23161644496.0,180000.0,-0.5736590850807803,-0.5924255190675127,-0.06666666666666667
2008-10-01,46765,9825672952.0,164995.0,106207,23869238570.0,180000.0,-0.5596806236877042,-0.5883541520109746,-0.08336111111111111
2008-11-01,37767,7662007092.0,160000.0,104434,22982057362.0,178000.0,-0.6383649003198192,-0.6666091737866405,-0.10112359550561797
2008-12-01,41568,8241410020.0,160000.0,84535,18339024208.0,177500.0,-0.5082746791269889,-0.550608040726351,-0.09859154929577464
2009-01-01,27507,5619966199.0,160000.0,59724,13296790598.0,175000.0,-0.5394313843680932,-0.5773441600377378,-0.08571428571428572
2009-02-01,28409,5610149362.0,157000.0,63695,13685177533.0,171695.0,-0.5539838291859643,-0.5900565156373117,-0.08558781560324995
2009-03-01,37436,7233289716.0,153175.0,60243,13023867353.0,172000.0,-0.3785834038809488,-0.4446127620968254,-0.10944767441860465
2009-04-01,40969,8168714654.0,160000.0,64805,14169023533.0,172500.0,-0.36781112568474655,-0.42348076174939897,-0.07246376811594203
2009-05-01,46777,9456994538.0,162500.0,67263,14753103489.0,175000.0,-0.3045656601697813,-0.35898270183956954,-0.07142857142857142
2009-06-01,54311,11206172404.0,165000.0,60989,13378061501.0,175000.0,-0.10949515486399186,-0.1623470707499478,-0.05714285714285714
2009-07-01,63951,14012142425.0,172000.0,54542,12405070177.0,175000.0,0.1725092589197316,0.12954962971347325,-0.017142857142857144
2009-08-01,59102,13253595006.0,175000.0,49906,11157953704.0,175000.0,0.18426642087123793,0.18781591657337102,0.0
2009-09-01,59259,13366001522.0,175000.0,43225,9440095233.0,168000.0,0.37094274146905726,0.41587570804117546,0.041666666666666664
2009-10-01,66583,14808581455.0,174950.0,46765,9825672952.0,164995.0,0.4237784668020956,0.5071315244606973,0.06033516167156581
2009-11-01,61915,13803081522.0,175000.0,37767,7662007092.0,160000.0,0.6393941801043239,0.801496834479829,0.09375
2009-12-01,79443,16898948218.0,169000.0,41568,8241410020.0,160000.0,0.9111576212471132,1.0504923522783303,0.05625
2010-01-01,36326,8987156908.0,193500.0,27507,5619966199.0,160000.0,0.3206092994510488,0.5991478577930145,0.209375
2010-02-01,42982,9906505584.0,180000.0,28409,5610149362.0,157000.0,0.5129712415079728,0.7658185094145805,0.1464968152866242
2010-03-01,52161,11835384947.0,175000.0,37436,7233289716.0,153175.0,0.3933379634576344,0.6362382002783863,0.1424840868287906
2010-04-01,52905,12102810221.0,177000.0,40969,8168714654.0,160000.0,0.2913422343723303,0.48160521374970283,0.10625
2010-05-01,52808,12012449472.0,180000.0,46777,9456994538.0,162500.0,0.12893088483656498,0.27021850586163465,0.1076923076923077
2010-06-01,63551,14934899478.0,182200.0,54311,11206172404.0,165000.0,0.17013128095597577,0.3327386853935109,0.10424242424242425
2010-07-01,68181,16844472801.0,185000.0,63951,14012142425.0,172000.0,0.06614439179997185,0.20213399850594224,0.0755813953488372
2010-08-01,62223,15340735571.0,188500.0,59102,13253595006.0,175000.0,0.052807011607052215,0.15747731570605078,0.07714285714285714
2010-09-01,58205,14184531227.0,185000.0,59259,13366001522.0,175000.0,-0.017786327815184192,0.06123968365952428,0.05714285714285714
2010-10-01,59361,13933782322.0,180000.0,66583,14808581455.0,174950.0,-0.10846612498685851,-0.05907379688313299,0.02886539011146042
2010-11-01,57022,13215494904.0,179950.0,61915,13803081522.0,175000.0,-0.07902769926512154,-0.042569234780181285,0.028285714285714286
2010-12-01,57617,13229935892.0,177000.0,79443,16898948218.0,169000.0,-0.27473786236672837,-0.21711483334163562,0.047337278106508875
2011-01-01,38137,9118218044.0,176500.0,36326,8987156908.0,193500.0,0.04985409899245719,0.01458315876106878,-0.08785529715762273
