month,county,sales_volume,median_price,vol_prev_year,med_prev_year,yoy_sales_volume,yoy_median_price
1995-02-01,SOUTHAMPTON,239,48000.0,,,,
1995-02-01,SOUTHEND-ON-SEA,225,46000.0,,,,
1995-02-01,STAFFORDSHIRE,741,47000.0,,,,
1995-02-01,STOCKTON-ON-TEES,126,43950.0,,,,
1995-02-01,STOKE-ON-TRENT,268,34000.0,,,,
1995-02-01,SUFFOLK,729,48000.0,,,,
1995-02-01,SURREY,1155,85000.0,,,,
1995-02-01,SWANSEA,130,43997.5,,,,
1995-02-01,THAMESDOWN,199,49995.0,,,,
1995-02-01,THE VALE OF GLAMORGAN,2,1525.0,,,,
1995-02-01,THURROCK,151,52000.0,,,,
1995-02-01,TORBAY,175,52500.0,,,,
1995-02-01,TORFAEN,49,40000.0,,,,
1995-02-01,TYNE AND WEAR,847,42000.0,,,,
1995-02-01,WARRINGTON,182,49975.0,,,,
1995-02-01,WARWICKSHIRE,514,54000.0,,,,
1995-02-01,WEST GLAMORGAN,119,41000.0,,,,
1995-02-01,WEST MIDLANDS,1998,45475.0,,,,
1995-02-01,WEST SUSSEX,955,60000.0,,,,
1995-02-01,WEST YORKSHIRE,1870,43000.0,,,,
1995-02-01,WILTSHIRE,538,59995.0,,,,
1995-02-01,WINDSOR AND MAIDENHEAD,131,87000.0,,,,
1995-02-01,WOKINGHAM,127,77000.0,,,,
1995-02-01,WORCESTERSHIRE,579,57000.0,,,,
1995-02-01,WREKIN,2,400212.5,,,,
1995-02-01,WREXHAM,2,76300.0,,,,
1995-02-01,YORK,113,48950.0,,,,
1995-03-01,AVON,1351,52750.0,,,,
1995-03-01,BATH AND NORTH EAST SOMERSET,6,81500.0,,,,
1995-03-01,BEDFORD,1,127500.0,,,,
1995-03-01,BEDFORDSHIRE,759,53000.0,,,,
1995-03-01,BERKSHIRE,224,69975.0,,,,
1995-03-01,BLACKBURN WITH DARWEN,4,12500.0,,,,
1995-03-01,BLACKPOOL,246,41500.0,,,,
1995-03-01,BLAENAU GWENT,53,27000.0,,,,
1995-03-01,BOURNEMOUTH,301,54000.0,,,,
1995-03-01,BRACKNELL FOREST,224,75000.0,,,,
1995-03-01,BRIGHTON AND HOVE,16,47500.0,,,,
1995-03-01,BUCKINGHAMSHIRE,687,81000.0,,,,
1995-03-01,CAERPHILLY,7,60000.0,,,,
1995-03-01,CAMBRIDGESHIRE,1019,56000.0,,,,
1995-03-01,CARDIFF,400,49475.0,,,,
1995-03-01,CARMARTHENSHIRE,7,20000.0,,,,
1995-03-01,CENTRAL BEDFORDSHIRE,2,31500.0,,,,
1995-03-01,CEREDIGION,68,47750.0,,,,
1995-03-01,CHESHIRE,824,57625.0,,,,
1995-03-01,CHESHIRE EAST,7,60000.0,,,,
1995-03-01,CHESHIRE WEST AND CHESTER,2,84000.0,,,,
1995-03-01,CITY OF BRISTOL,12,57350.0,,,,
1995-03-01,CITY OF DERBY,3,45500.0,,,,
1995-03-01,CITY OF KINGSTON UPON HULL,9,39450.0,,,,
1995-03-01,CITY OF NOTTINGHAM,5,47000.0,,,,
1995-03-01,CITY OF PETERBOROUGH,2,75000.0,,,,
1995-03-01,CITY OF PLYMOUTH,4,44500.0,,,,
1995-03-01,CLEVELAND,167,43500.0,,,,
1995-03-01,CLWYD,475,44500.0,,,,
1995-03-01,CONWY,2,79975.0,,,,
1995-03-01,CORNWALL,735,49000.0,,,,
1995-03-01,COUNTY DURHAM,11,30000.0,,,,
1995-03-01,CUMBRIA,643,46500.0,,,,
1995-03-01,DARLINGTON,140,45950.0,,,,
1995-03-01,DERBYSHIRE,1279,43000.0,,,,
1995-03-01,DEVON,1301,52000.0,,,,
1995-03-01,DORSET,645,62000.0,,,,
1995-03-01,DURHAM,623,38500.0,,,,
1995-03-01,DYFED,251,39000.0,,,,
1995-03-01,EAST RIDING OF YORKSHIRE,10,76725.0,,,,
1995-03-01,EAST SUSSEX,1234,52000.0,,,,
1995-03-01,ESSEX,2107,59500.0,,,,
1995-03-01,FLINTSHIRE,6,53650.0,,,,
1995-03-01,GLOUCESTERSHIRE,805,56250.0,,,,
1995-03-01,GREATER LONDON,9844,71000.0,,,,
1995-03-01,GREATER MANCHESTER,3204,42500.0,,,,
1995-03-01,GWENT,167,51550.0,,,,
1995-03-01,GWYNEDD,257,42000.0,,,,
1995-03-01,HALTON,130,49975.0,,,,
1995-03-01,HAMPSHIRE,1921,65000.0,,,,
1995-03-01,HARTLEPOOL,120,32250.0,,,,
1995-03-01,HEREFORD AND WORCESTER,207,53500.0,,,,
1995-03-01,HEREFORDSHIRE,6,49500.0,,,,
1995-03-01,HERTFORDSHIRE,1580,71747.5,,,,
1995-03-01,HUMBERSIDE,1119,40000.0,,,,
1995-03-01,ISLE OF WIGHT,240,48250.0,,,,
1995-03-01,KENT,2223,55500.0,,,,
1995-03-01,LANCASHIRE,1683,43000.0,,,,
1995-03-01,LEICESTER,317,40000.0,,,,
1995-03-01,LEICESTERSHIRE,966,49950.0,,,,
1995-03-01,LINCOLNSHIRE,971,43500.0,,,,
1995-03-01,LUTON,267,44000.0,,,,
1995-03-01,MEDWAY,2,137166.5,,,,
1995-03-01,MERSEYSIDE,1508,42500.0,,,,
1995-03-01,MERTHYR TYDFIL,60,32500.0,,,,
1995-03-01,MID GLAMORGAN,521,37500.0,,,,
1995-03-01,MIDDLESBROUGH,182,38000.0,,,,
1995-03-01,MILTON KEYNES,391,50000.0,,,,
1995-03-01,MONMOUTHSHIRE,5,85000.0,,,,
1995-03-01,NEATH PORT TALBOT,4,74250.0,,,,
1995-03-01,NEWPORT,158,40500.0,,,,
1995-03-01,NORFOLK,1144,46450.0,,,,
1995-03-01,NORTH EAST LINCOLNSHIRE,3,3000.0,,,,
1995-03-01,NORTH LINCOLNSHIRE,4,61000.0,,,,
1995-03-01,NORTH SOMERSET,7,50000.0,,,,
1995-03-01,NORTH YORKSHIRE,869,55950.0,,,,
1995-03-01,NORTHAMPTONSHIRE,1018,44500.0,,,,
1995-03-01,NORTHUMBERLAND,396,49975.0,,,,
